enabled,personId,eventId,role,note,sourceIds,sort
TRUE,liu_zhidan,sha_19351019_wuqi_welcome,根据地建设者,陕甘根据地成为中央红军落脚点,src_shaanbei_12371;src_xinhua_25000,20
TRUE,liu_zhidan,sha_19360414_liuzhidan_death,主角,东征战斗中牺牲,src_liuzhidan_mva,30
TRUE,he_long,r2_19351119_sangzhi_start,领导者,红二、六军团从桑植开始长征,src_red2_start_12371,10
TRUE,he_long,r2_19360328_wumeng,领导者,乌蒙山回旋战突破重围,src_wumeng_people_2023;src_red2_start_12371,20
TRUE,he_long,r2_19361022_jiangtaibao,会师参与者,红二方面军到达将台堡,src_jiangtaibao_12371;src_jiangtaibao_cppcc,30
TRUE,ren_bishi,r2_19351119_sangzhi_start,领导者,红二、六军团从桑植开始长征,src_red2_start_12371,10
TRUE,ren_bishi,r2_19360328_wumeng,领导者,乌蒙山回旋战突破重围,src_wumeng_people_2023;src_red2_start_12371,20
TRUE,ren_bishi,r2_19361022_jiangtaibao,会师参与者,红二方面军到达将台堡,src_jiangtaibao_12371;src_jiangtaibao_cppcc,30
TRUE,he_jiesheng,r2_19351101_hejiesheng_birth,主角,出生后成为长征路上的婴儿,src_red2_start_12371,10
TRUE,he_jiesheng,r2_19351101_hejiesheng_start,主角,出生十八天后随军踏上长征路,src_hejiesheng_cppcc;src_red2_start_12371,20
TRUE,he_jiesheng,r2_19351120_lishui,随军亲历者,随红二、六军团渡过澧水,src_red2_start_12371;src_hejiesheng_cppcc,30
TRUE,hong_chao,rf_19341021_hongchao_death,主角,长征初期百石战斗中牺牲,src_hongchao_people,10
TRUE,cheng_cuilin,rf_19341130_xiangjiang_cover,掩护部队政治委员,红三十四师在湘江战役中担任绝命后卫,src_epic_people;src_chenshuxiang_xinhua,10
TRUE,cheng_cuilin,rf_19341210_chenshuxiang,牺牲群像,与陈树湘等红三十四师指战员共同构成湘江牺牲群像,src_chenshuxiang_xinhua;src_epic_people,20
TRUE,cai_zhong,rf_19341130_xiangjiang_cover,政治工作干部,红三十四师后卫掩护中的政治工作人物,src_epic_people;src_chenshuxiang_xinhua,10
TRUE,cai_zhong,rf_19341210_chenshuxiang,牺牲群像,红三十四师后卫部队大部牺牲的代表人物之一,src_chenshuxiang_xinhua;src_epic_people,20
TRUE,xie_zichang,sha_19341107_nanliang,根据地创建者,陕甘边和陕北根据地建设的重要前史人物,src_shaanbei_12371;src_xiezichang_xinhua,10
TRUE,xie_zichang,sha_19350221_xiezichang_death,主角,中央红军到达陕北前牺牲的西北根据地重要创建者,src_xiezichang_xinhua;src_shaanbei_12371,20
TRUE,luo_nanhui,r4_19361009_huining,会师掩护牺牲线索,会宁会师前后相关阻击战中的牺牲人物,src_luonanhui_xinhua;src_meetings_xinhua,10
TRUE,peng_dehuai,rf_19341010_ruijin,参与者,随中央红军主力开始战略转移,src_cpc_century;src_pengdehuai_people,10
TRUE,peng_dehuai,rf_19350225_loushanguan,指挥员,娄山关和遵义战役线索中的重要军事指挥员,src_zunyi_hunan;src_pengdehuai_people,20
TRUE,peng_dehuai,rf_19351021_wuqi_tail,指挥员,中央红军到达陕北后击退尾追之敌,src_epic_people;src_pengdehuai_people,30
TRUE,peng_dehuai,rf_19351121_zhiluozhen,指挥员,直罗镇战役巩固陕北落脚点,src_shaanbei_12371;src_pengdehuai_people,40
TRUE,zhang_wentian,rf_19341212_tongdao,会议参与者,通道会议前后参与路线调整讨论,src_cpc_century;src_party_chronology_xinhua,10
TRUE,zhang_wentian,rf_19350115_zunyi_meeting,关键参与者,遵义会议中的中央领导成员,src_zunyi_hunan;src_party_chronology_xinhua,20
TRUE,zhang_wentian,rf_19350209_zhaxi,会议参与者,遵义会议后继续推动组织和军事部署调整,src_party_chronology_xinhua;src_cpc_century,30
TRUE,zhang_wentian,rf_19350927_bangluo,会议参与者,榜罗镇会议明确落脚陕北战略方向,src_cpc_century;src_party_chronology_xinhua,40
TRUE,wang_jiaxiang,rf_19350115_zunyi_meeting,关键参与者,遵义会议中的中央领导成员,src_zunyi_hunan;src_party_chronology_xinhua,10
TRUE,wang_jiaxiang,rf_19350626_lianghekou,会议参与者,红一、红四方面军会合后的战略讨论参与者,src_meetings_xinhua;src_party_chronology_xinhua,20
TRUE,he_zizhen,rf_19341010_ruijin,参与者,随中央红军开始长征,src_women_redarmy_81;src_cpc_century,10
TRUE,he_zizhen,rf_19350205_hezizhen,主角,川南生女并托孤的女性亲历节点,src_hezizhen_people;src_women_redarmy_81,20
TRUE,he_zizhen,rf_19351019_wuqi,亲历者,随中央红军到达陕北落脚点,src_women_redarmy_81;src_shaanbei_12371,30
TRUE,deng_yingchao,rf_19341010_ruijin,参与者,参加中央红军长征,src_women_redarmy_81;src_cpc_century,10
TRUE,deng_yingchao,rf_19350821_ruoergai,亲历者,女红军在雪山草地阶段承受极端行军压力,src_women_redarmy_81;src_meetings_xinhua,20
TRUE,deng_yingchao,rf_19351019_wuqi,亲历者,随中央红军到达陕北,src_women_redarmy_81;src_shaanbei_12371,30
TRUE,cai_chang,rf_19341010_ruijin,参与者,参加中央红军长征,src_women_redarmy_81;src_cpc_century,10
TRUE,cai_chang,rf_19350626_lianghekou,政治工作,长征中的妇女工作和组织动员线索,src_women_redarmy_81;src_meetings_xinhua,20
TRUE,cai_chang,rf_19351019_wuqi,亲历者,随中央红军到达陕北,src_women_redarmy_81;src_shaanbei_12371,30
TRUE,kang_keqing,rf_19341010_ruijin,参与者,参加中央红军长征,src_women_redarmy_81;src_cpc_century,10
TRUE,kang_keqing,rf_19350821_ruoergai,亲历者,女红军在草地阶段的艰苦行军线索,src_women_redarmy_81;src_meetings_xinhua,20
TRUE,kang_keqing,rf_19351019_wuqi,亲历者,随中央红军到达陕北,src_women_redarmy_81;src_shaanbei_12371,30
TRUE,liu_ying,rf_19341010_ruijin,参与者,参加中央红军长征,src_women_redarmy_81;src_cpc_century,10
TRUE,liu_ying,rf_19350115_zunyi_meeting,组织工作线索,女红军与组织宣传工作嵌入中央红军路线,src_women_redarmy_81;src_zunyi_hunan,20
TRUE,li_jianzhen,rf_19341010_ruijin,参与者,参加中央红军长征,src_women_redarmy_81;src_cpc_century,10
TRUE,li_jianzhen,rf_19350821_ruoergai,亲历者,女红军在雪山草地阶段的艰苦行军线索,src_women_redarmy_81;src_meetings_xinhua,20
TRUE,xu_haidong,r25_19341116_hejiachong,领导者,红二十五军从何家冲出发,src_red25_people,10
TRUE,xu_haidong,r25_19341126_dushuzhen,指挥员,独树镇突围保存红二十五军力量,src_dushuzhen_people;src_red25_people,20
TRUE,xu_haidong,r25_19350702_yuanjiagou,指挥员,袁家沟口战斗重要指挥员,src_red25_yuanjiagou_people_2026,30
TRUE,xu_haidong,r25_19350918_yongping_meeting,会师参与者,红二十五军与陕甘红军永坪会师,src_yongping_people;src_shaanbei_12371,40
TRUE,cheng_zihua,r25_19341116_hejiachong,领导者,红二十五军从何家冲出发,src_red25_people,10
TRUE,cheng_zihua,r25_19341126_dushuzhen,指挥员,独树镇突围中的领导成员,src_dushuzhen_people;src_red25_people,20
TRUE,cheng_zihua,r25_19350716_fengyukou,领导者,红二十五军西征北上战略转进,src_shaanbei_12371;src_red25_people,30
TRUE,cheng_zihua,r25_19350918_yongping_meeting,会师参与者,参与红二十五军与陕甘红军会师及整编,src_yongping_people;src_shaanbei_12371,40
TRUE,xu_xiangqian,r4_19350328_jialingjiang,指挥员,红四方面军强渡嘉陵江的重要军事指挥员,src_redfourth_sichuan;src_meetings_xinhua,10
TRUE,xu_xiangqian,r4_19350612_davi_meeting,会师参与者,红四方面军与中央红军会师线索,src_meetings_xinhua,20
TRUE,xu_xiangqian,r2_19360603_ganzi_meeting,会师参与者,红二、六军团与红四方面军甘孜会师相关人物,src_meetings_xinhua,30
TRUE,xu_xiangqian,r4_19361009_huining,会师参与者,红四方面军与红一方面军会宁会师,src_meetings_xinhua,40
TRUE,chen_changhao,r4_19350328_jialingjiang,政治工作,红四方面军嘉陵江战役中的政治领导人物,src_redfourth_sichuan;src_meetings_xinhua,10
TRUE,chen_changhao,r4_19350626_lianghekou,会议参与者,两河口会议后红四方面军政治组织线索,src_meetings_xinhua;src_party_chronology_xinhua,20
TRUE,chen_changhao,r4_19360603_ganzi_meeting,会师参与者,红四方面军与红二、六军团会师相关人物,src_meetings_xinhua,30
TRUE,zhang_guotao,rf_19350618_maogong_main,会师参与者,红一、红四方面军会合中的关键人物,src_meetings_xinhua,10
TRUE,zhang_guotao,rf_19350626_lianghekou,会议参与者,两河口会议中的路线方针讨论人物,src_meetings_xinhua;src_party_chronology_xinhua,20
TRUE,zhang_guotao,r4_19351005_zhuomudiao,主角,卓木碉另立“中央”造成严重组织危机,src_meetings_xinhua,30
TRUE,zhang_guotao,r4_19360415_cancel_second_center,转折人物,被迫取消另立“中央”,src_meetings_xinhua,40
TRUE,xiao_ke,r2_19351119_sangzhi_start,领导者,红二、六军团从桑植开始长征,src_red2_start_12371,10
TRUE,xiao_ke,r2_19360328_wumeng,指挥员,乌蒙山回旋战突破重围,src_wumeng_people_2023;src_red2_start_12371,20
TRUE,xiao_ke,r2_19360705_red_second_formed,整编参与者,红二方面军在甘孜地区成立,src_meetings_xinhua;src_ganzi_12371,30
TRUE,wang_zhen,r2_19351119_sangzhi_start,领导者,红二、六军团从桑植开始长征,src_red2_start_12371,10
TRUE,wang_zhen,r2_19360328_wumeng,指挥员,乌蒙山回旋战相关指挥员,src_wumeng_people_2023;src_red2_start_12371,20
TRUE,wang_zhen,r2_19360705_red_second_formed,整编参与者,红二方面军在甘孜地区成立,src_meetings_xinhua;src_ganzi_12371,30
TRUE,guan_xiangying,r2_19351119_sangzhi_start,政治工作,红二、六军团长征开始时的重要政治工作领导人,src_red2_start_12371,10
TRUE,guan_xiangying,r2_19360209_bijie_people,群众工作,毕节群众动员和地方政权建设线索,src_red2_start_12371;src_epic_people,20
TRUE,guan_xiangying,r2_19360705_red_second_formed,整编参与者,红二方面军在甘孜地区成立,src_meetings_xinhua;src_ganzi_12371,30
TRUE,xi_zhongxun,sha_19341107_nanliang,根据地建设者,陕甘边革命根据地建设推进的重要人物,src_shaanbei_12371,10
TRUE,xi_zhongxun,sha_19351019_wuqi_welcome,根据地建设者,陕甘根据地成为中央红军落脚点的地方基础,src_shaanbei_12371;src_xinhua_25000,20
TRUE,du_heng,steam_sg_19321201_8f7ac593,担任军政治委员兼团政治委员,,src_steam_longmarch_1934_1936,9096
TRUE,wang_shitai,steam_sg_19321201_8f7ac593,担任团长,,src_steam_longmarch_1934_1936,9097
TRUE,xi_zhongxun,steam_sg_19330301_0f21f603,担任军委书记,,src_steam_longmarch_1934_1936,9098
TRUE,jin_like,steam_sg_19330301_0f21f603,担任书记,,src_steam_longmarch_1934_1936,9099
TRUE,xi_zhongxun,steam_sg_19330405_a46bd176,担任副主席,,src_steam_longmarch_1934_1936,9100
TRUE,zhou_dongzhi,steam_sg_19330405_a46bd176,担任主席,,src_steam_longmarch_1934_1936,9101
TRUE,liu_zhidan,steam_sg_19330501_ca6bb3b9,Steam文本提及,,src_steam_longmarch_1934_1936,9102
TRUE,du_heng,steam_sg_19330501_ca6bb3b9,Steam文本提及,,src_steam_longmarch_1934_1936,9103
TRUE,liu_zhidan,steam_sg_19331101_06c92b80,Steam文本提及,,src_steam_longmarch_1934_1936,9104
TRUE,wang_taiji,steam_sg_19331101_06c92b80,担任师长,,src_steam_longmarch_1934_1936,9105
TRUE,gao_gang,steam_sg_19331101_06c92b80,担任政治委员,,src_steam_longmarch_1934_1936,9106
TRUE,xie_zichang,steam_sg_19350221_6b3da244,Steam文本提及,,src_steam_longmarch_1934_1936,9107
TRUE,xie_zichang,steam_sg_19350501_dfa53298,决策或组织活动,,src_steam_longmarch_1934_1936,9108
TRUE,liu_zhidan,steam_sg_19350504_f02abc6a,担任总指挥,,src_steam_longmarch_1934_1936,9109
TRUE,gao_gang,steam_sg_19350504_f02abc6a,担任政治委员,,src_steam_longmarch_1934_1936,9110
TRUE,xie_zichang,steam_sg_19330801_8f0303e3,担任总指挥,,src_steam_longmarch_1934_1936,9111
TRUE,guo_hongtao,steam_sg_19330801_8f0303e3,担任政治委员,,src_steam_longmarch_1934_1936,9112
TRUE,he_jinnian,steam_sg_19330801_8f0303e3,担任参谋长,,src_steam_longmarch_1934_1936,9113
TRUE,xie_zichang,steam_sg_19340801_9fe35e4a,牺牲或伤亡线索,,src_steam_longmarch_1934_1936,9114
TRUE,yang_qi,steam_sg_19350101_97c6888f,担任师长,,src_steam_longmarch_1934_1936,9115
TRUE,zhang_dazhi,steam_sg_19350101_97c6888f,担任政治委员,,src_steam_longmarch_1934_1936,9116
TRUE,ma_mingfang,steam_sg_19350101_97c6888f,Steam文本提及,,src_steam_longmarch_1934_1936,9117
TRUE,pan_hannian,steam_rf_19341005_63faf30f,Steam文本提及,,src_steam_longmarch_1934_1936,9118
TRUE,he_changgong,steam_rf_19341005_63faf30f,Steam文本提及,,src_steam_longmarch_1934_1936,9119
TRUE,chen_jitang,steam_rf_19341005_63faf30f,决策或组织活动,,src_steam_longmarch_1934_1936,9120
TRUE,hong_chao,steam_rf_19341025_2e33bd01,牺牲或伤亡线索,,src_steam_longmarch_1934_1936,9121
TRUE,xue_yue,steam_rf_19341030_79a2d2a5,Steam文本提及,,src_steam_longmarch_1934_1936,9122
TRUE,peng_dehuai,steam_rf_19341129_a18d6f49,率部或指挥行动,,src_steam_longmarch_1934_1936,9123
TRUE,zhou_enlai,steam_rf_19341219_e8d427e9,Steam文本提及,,src_steam_longmarch_1934_1936,9124
TRUE,zhu_de,steam_rf_19341219_e8d427e9,Steam文本提及,,src_steam_longmarch_1934_1936,9125
TRUE,xue_yue,steam_rf_19341219_e8d427e9,Steam文本提及,,src_steam_longmarch_1934_1936,9126
TRUE,zhou_enlai,steam_rf_19341220_d3104c4f,决策或组织活动,,src_steam_longmarch_1934_1936,9127
TRUE,zhu_de,steam_rf_19341220_d3104c4f,Steam文本提及,,src_steam_longmarch_1934_1936,9128
TRUE,peng_dehuai,steam_rf_19341220_d3104c4f,Steam文本提及,,src_steam_longmarch_1934_1936,9129
TRUE,xue_yue,steam_rf_19341220_d3104c4f,Steam文本提及,,src_steam_longmarch_1934_1936,9130
TRUE,xue_yue,steam_rf_19350102_2c6c33dd,Steam文本提及,,src_steam_longmarch_1934_1936,9131
TRUE,zhou_enlai,steam_rf_19350105_99e9e135,决策或组织活动,,src_steam_longmarch_1934_1936,9132
TRUE,zhu_de,steam_rf_19350105_99e9e135,决策或组织活动,,src_steam_longmarch_1934_1936,9133
TRUE,liu_bocheng,steam_rf_19350105_99e9e135,率部或指挥行动,,src_steam_longmarch_1934_1936,9134
TRUE,wang_jiaxiang,steam_rf_19350105_99e9e135,决策或组织活动,,src_steam_longmarch_1934_1936,9135
TRUE,liu_bocheng,steam_rf_19350106_3bd576b4,率部或指挥行动,,src_steam_longmarch_1934_1936,9136
TRUE,zhu_de,steam_rf_19350108_c54bd2a5,决策或组织活动,,src_steam_longmarch_1934_1936,9137
TRUE,zhou_enlai,steam_rf_19350115_62273c6e,Steam文本提及,,src_steam_longmarch_1934_1936,9138
TRUE,liu_bocheng,steam_rf_19350115_62273c6e,Steam文本提及,,src_steam_longmarch_1934_1936,9139
TRUE,mao_zedong,steam_rf_19350128_205c4223,Steam文本提及,,src_steam_longmarch_1934_1936,9140
TRUE,xue_yue,steam_rf_19350205_7274f529,Steam文本提及,,src_steam_longmarch_1934_1936,9141
TRUE,zhang_wentian,steam_rf_19350208_b9f42420,Steam文本提及,,src_steam_longmarch_1934_1936,9142
TRUE,zhang_wentian,steam_rf_19350210_24f02cba,决策或组织活动,,src_steam_longmarch_1934_1936,9143
TRUE,mao_zedong,steam_rf_19350311_0b6e9300,Steam文本提及,,src_steam_longmarch_1934_1936,9144
TRUE,xue_yue,steam_rf_19350311_0b6e9300,Steam文本提及,,src_steam_longmarch_1934_1936,9145
TRUE,mao_zedong,steam_rf_19350331_91d3a546,率部或指挥行动,,src_steam_longmarch_1934_1936,9146
TRUE,xue_yue,steam_rf_19350511_05133c0d,Steam文本提及,,src_steam_longmarch_1934_1936,9147
TRUE,mao_zedong,steam_rf_19350625_600648e4,Steam文本提及,,src_steam_longmarch_1934_1936,9148
TRUE,zhou_enlai,steam_rf_19350625_600648e4,Steam文本提及,,src_steam_longmarch_1934_1936,9149
TRUE,zhu_de,steam_rf_19350625_600648e4,Steam文本提及,,src_steam_longmarch_1934_1936,9150
TRUE,zhang_wentian,steam_rf_19350625_600648e4,Steam文本提及,,src_steam_longmarch_1934_1936,9151
TRUE,zhang_guotao,steam_rf_19350625_600648e4,Steam文本提及,,src_steam_longmarch_1934_1936,9152
TRUE,mao_zedong,steam_rf_19350630_f1f50f21,Steam文本提及,,src_steam_longmarch_1934_1936,9153
TRUE,zhou_enlai,steam_rf_19350630_f1f50f21,Steam文本提及,,src_steam_longmarch_1934_1936,9154
TRUE,zhu_de,steam_rf_19350630_f1f50f21,Steam文本提及,,src_steam_longmarch_1934_1936,9155
TRUE,zhang_wentian,steam_rf_19350630_f1f50f21,Steam文本提及,,src_steam_longmarch_1934_1936,9156
TRUE,liu_bocheng,steam_rf_19350701_14d2a1a8,Steam文本提及,,src_steam_longmarch_1934_1936,9157
TRUE,zhang_guotao,steam_rf_19350701_14d2a1a8,决策或组织活动,,src_steam_longmarch_1934_1936,9158
TRUE,mao_zedong,steam_rf_19350710_b3a76e11,决策或组织活动,,src_steam_longmarch_1934_1936,9159
TRUE,zhou_enlai,steam_rf_19350710_b3a76e11,决策或组织活动,,src_steam_longmarch_1934_1936,9160
TRUE,zhu_de,steam_rf_19350710_b3a76e11,决策或组织活动,,src_steam_longmarch_1934_1936,9161
TRUE,zhang_guotao,steam_rf_19350710_b3a76e11,决策或组织活动,,src_steam_longmarch_1934_1936,9162
TRUE,chen_changhao,steam_rf_19350716_19abfe08,决策或组织活动,,src_steam_longmarch_1934_1936,9163
TRUE,mao_zedong,steam_rf_19350701_f7c6a4b0,Steam文本提及,,src_steam_longmarch_1934_1936,9164
TRUE,xu_xiangqian,steam_rf_19350701_f7c6a4b0,Steam文本提及,,src_steam_longmarch_1934_1936,9165
TRUE,xue_yue,steam_rf_19350701_f7c6a4b0,Steam文本提及,,src_steam_longmarch_1934_1936,9166
TRUE,zhang_wentian,steam_rf_19350804_e6705bd9,决策或组织活动,,src_steam_longmarch_1934_1936,9167
TRUE,zhang_guotao,steam_rf_19350804_e6705bd9,Steam文本提及,,src_steam_longmarch_1934_1936,9168
TRUE,xu_xiangqian,steam_rf_19350810_6fd1c6a4,率部或指挥行动,,src_steam_longmarch_1934_1936,9169
TRUE,chen_changhao,steam_rf_19350810_6fd1c6a4,Steam文本提及,,src_steam_longmarch_1934_1936,9170
TRUE,zhang_guotao,steam_rf_19350813_c37cc3de,Steam文本提及,,src_steam_longmarch_1934_1936,9171
TRUE,mao_zedong,steam_rf_19350819_3539c722,Steam文本提及,,src_steam_longmarch_1934_1936,9172
TRUE,wang_jiaxiang,steam_rf_19350819_3539c722,决策或组织活动,,src_steam_longmarch_1934_1936,9173
TRUE,zhang_guotao,steam_rf_19350819_3539c722,Steam文本提及,,src_steam_longmarch_1934_1936,9174
TRUE,zhu_de,steam_rf_19350821_508bf292,Steam文本提及,,src_steam_longmarch_1934_1936,9175
TRUE,xu_xiangqian,steam_rf_19350821_508bf292,决策或组织活动,,src_steam_longmarch_1934_1936,9176
TRUE,chen_changhao,steam_rf_19350821_508bf292,决策或组织活动,,src_steam_longmarch_1934_1936,9177
TRUE,zhang_guotao,steam_rf_19350821_508bf292,Steam文本提及,,src_steam_longmarch_1934_1936,9178
TRUE,mao_zedong,steam_rf_19350801_4e5f4183,Steam文本提及,,src_steam_longmarch_1934_1936,9179
TRUE,xu_xiangqian,steam_rf_19350801_4e5f4183,Steam文本提及,,src_steam_longmarch_1934_1936,9180
TRUE,chen_changhao,steam_rf_19350801_4e5f4183,Steam文本提及,,src_steam_longmarch_1934_1936,9181
TRUE,zhang_guotao,steam_rf_19350801_4e5f4183,Steam文本提及,,src_steam_longmarch_1934_1936,9182
TRUE,zhou_enlai,steam_rf_19350906_80ea8a31,决策或组织活动,,src_steam_longmarch_1934_1936,9183
TRUE,xu_xiangqian,steam_rf_19350910_6eedebf7,Steam文本提及,,src_steam_longmarch_1934_1936,9184
TRUE,chen_changhao,steam_rf_19350910_6eedebf7,率部或指挥行动,,src_steam_longmarch_1934_1936,9185
TRUE,zhang_guotao,steam_rf_19350911_0527e5da,率部或指挥行动,,src_steam_longmarch_1934_1936,9186
TRUE,xu_xiangqian,steam_rf_19350914_6a9837b9,Steam文本提及,,src_steam_longmarch_1934_1936,9187
TRUE,chen_changhao,steam_rf_19350914_6a9837b9,Steam文本提及,,src_steam_longmarch_1934_1936,9188
TRUE,zhang_guotao,steam_rf_19350914_6a9837b9,Steam文本提及,,src_steam_longmarch_1934_1936,9189
TRUE,mao_zedong,steam_rf_19350922_c028f45a,决策或组织活动,,src_steam_longmarch_1934_1936,9190
TRUE,xu_xiangqian,steam_r4_19341101_625c61d6,决策或组织活动,,src_steam_longmarch_1934_1936,9191
TRUE,chen_changhao,steam_r4_19341101_625c61d6,Steam文本提及,,src_steam_longmarch_1934_1936,9192
TRUE,zhang_guotao,steam_r4_19341101_625c61d6,Steam文本提及,,src_steam_longmarch_1934_1936,9193
TRUE,liu_xiang,steam_r4_19350202_9eec714b,Steam文本提及,,src_steam_longmarch_1934_1936,9194
TRUE,zhang_guotao,steam_r4_19350501_c29cd8fa,Steam文本提及,,src_steam_longmarch_1934_1936,9195
TRUE,mao_zedong,steam_r4_19350617_c225f981,Steam文本提及,,src_steam_longmarch_1934_1936,9196
TRUE,zhou_enlai,steam_r4_19350617_c225f981,Steam文本提及,,src_steam_longmarch_1934_1936,9197
TRUE,zhu_de,steam_r4_19350617_c225f981,Steam文本提及,,src_steam_longmarch_1934_1936,9198
TRUE,zhang_wentian,steam_r4_19350617_c225f981,Steam文本提及,,src_steam_longmarch_1934_1936,9199
TRUE,mao_zedong,steam_r4_19350621_8523be9c,Steam文本提及,,src_steam_longmarch_1934_1936,9200
TRUE,peng_dehuai,steam_r4_19350624_b8804b0e,Steam文本提及,,src_steam_longmarch_1934_1936,9201
TRUE,zhang_wentian,steam_r4_19350624_b8804b0e,Steam文本提及,,src_steam_longmarch_1934_1936,9202
TRUE,xu_xiangqian,steam_r4_19350624_b8804b0e,Steam文本提及,,src_steam_longmarch_1934_1936,9203
TRUE,mao_zedong,steam_r4_19350625_ac761650,Steam文本提及,,src_steam_longmarch_1934_1936,9204
TRUE,zhou_enlai,steam_r4_19350625_ac761650,Steam文本提及,,src_steam_longmarch_1934_1936,9205
TRUE,zhu_de,steam_r4_19350625_ac761650,Steam文本提及,,src_steam_longmarch_1934_1936,9206
TRUE,zhang_wentian,steam_r4_19350625_ac761650,Steam文本提及,,src_steam_longmarch_1934_1936,9207
TRUE,zhang_guotao,steam_r4_19350625_ac761650,Steam文本提及,,src_steam_longmarch_1934_1936,9208
TRUE,mao_zedong,steam_r4_19350630_e0834dad,Steam文本提及,,src_steam_longmarch_1934_1936,9209
TRUE,zhou_enlai,steam_r4_19350630_e0834dad,Steam文本提及,,src_steam_longmarch_1934_1936,9210
TRUE,zhu_de,steam_r4_19350630_e0834dad,Steam文本提及,,src_steam_longmarch_1934_1936,9211
TRUE,zhang_wentian,steam_r4_19350630_e0834dad,Steam文本提及,,src_steam_longmarch_1934_1936,9212
TRUE,liu_bocheng,steam_r4_19350701_b5d05eb4,Steam文本提及,,src_steam_longmarch_1934_1936,9213
TRUE,zhang_guotao,steam_r4_19350701_b5d05eb4,决策或组织活动,,src_steam_longmarch_1934_1936,9214
TRUE,mao_zedong,steam_r4_19350710_0e7cbd6c,决策或组织活动,,src_steam_longmarch_1934_1936,9215
TRUE,zhou_enlai,steam_r4_19350710_0e7cbd6c,决策或组织活动,,src_steam_longmarch_1934_1936,9216
TRUE,zhu_de,steam_r4_19350710_0e7cbd6c,决策或组织活动,,src_steam_longmarch_1934_1936,9217
TRUE,zhang_guotao,steam_r4_19350710_0e7cbd6c,决策或组织活动,,src_steam_longmarch_1934_1936,9218
TRUE,chen_changhao,steam_r4_19350716_b268a97c,决策或组织活动,,src_steam_longmarch_1934_1936,9219
TRUE,mao_zedong,steam_r4_19350701_3c9731fc,Steam文本提及,,src_steam_longmarch_1934_1936,9220
TRUE,xu_xiangqian,steam_r4_19350701_3c9731fc,Steam文本提及,,src_steam_longmarch_1934_1936,9221
TRUE,xue_yue,steam_r4_19350701_3c9731fc,Steam文本提及,,src_steam_longmarch_1934_1936,9222
TRUE,zhang_wentian,steam_r4_19350804_85acb4ce,决策或组织活动,,src_steam_longmarch_1934_1936,9223
TRUE,zhang_guotao,steam_r4_19350804_85acb4ce,Steam文本提及,,src_steam_longmarch_1934_1936,9224
TRUE,xu_xiangqian,steam_r4_19350810_87e82638,率部或指挥行动,,src_steam_longmarch_1934_1936,9225
TRUE,chen_changhao,steam_r4_19350810_87e82638,Steam文本提及,,src_steam_longmarch_1934_1936,9226
TRUE,zhang_guotao,steam_r4_19350813_8ac3c24d,Steam文本提及,,src_steam_longmarch_1934_1936,9227
